H(firstname),H(lastname),city,age,sex,vote
181ecea16f23616f6e6025ffc7edb46e84f50794224cbe2ae74e61a55941458a,3347fc5233ff515bfc117a0a3d6900a83e1e12d39a479e89552a997177019d1b,Hamilton,65,Male,Red
b91512cc827ad8667bd2b2f37b5c7f2aa482f9c0d61c6ed555b33ef8a3242230,18c08698aadc19ba4bd166425047a9365acda7196c866e1cd825cc806740813f,St. Albert,95,Male,Purple
4626cbf36c4cbadec8b2bcec0c15c97341dd49f09207d47a3288041299ef4fb5,cd72b9e3869bead35c52f3ecdb867d67cf5f47a48fc3274bae6703ae6becb2e4,Sarnia,50,Female,Green
c4f89c9a8fca43eaa1c5e0b57298297e2434cc265028b1d2a7232981bcb4332d,2f1a721cd226e5a41702fe6759ed01395a8327bea968bac8a05b8984622e89b2,Lebel-sur-Quévillon,65,Female,Green
db508d5966ec06872e6e7fa11eb6415874314e529af465880a1001b81c285bc8,61a1936a45ca39b784346025d0c7728ee43ae83ae71fe22970a1ee31587fd0bc,Kamloops,90,Female,Red
6d7c60ac535f29aeaec1326a920e833dab609a8e808e56c030f8626c88d4d4e2,632c87a507d8f79355063ad700bff64c7726ce6c61c174dab2ed0c2973e07b2e,Saint-Colomban,45,Male,Purple
b4c1d5d1e036b58b296ca96b93616a8b67200eb335a53ea492781a82c66e0c51,febcedbbae0830937986dd6616ed22ee9add937cedd016ec9acbf253178fb77f,Nelson,45,Male,Blue
f68e0e278c2aac0311500cd91ee4d6b8cee2f68f419ccb6a21bf4bf19de91b96,41917f1e574827744af19795a46fc2afdf8922d63ccf6e9e07fbaa01997adf28,Laval,50,Male,Purple
dee18ffd726ad112971d9d0072f07bf963c0e7cde7462e67b6ad4f6d118f759d,8d147cbadbebc9e48e757eeff217b20104395db8b4bd542feaa8f075df865d9d,Bathurst,60,Female,Purple
302894e779b052c222ed0debee3795136bc52d3a607c26df5a1c505aa19a21a5,30204f84cc745df00d1cdfc1ce3b03a10434c2f8a5e15cd7e038263ff8c96cca,L'Île-Cadieux,85,Male,Orange
21e50bdccca987f6ca6a6e0ba7e28b117bbdd02a984d91dfbd908bfca47ccc74,313d5dac785193695d0a8b23dae46923a4d918d93183a30068f0e223e0c20332,Iqaluit,75,Male,Orange
